0,1,2,3,4,5,6
序号,学科门类,学校名称,项目类别,项目名称,项目批准号,项目负责人
1,法学,新疆大学,规划基金项目,政府危机管理下维护新疆稳定的行政法治化研究,10XJJA820001,申艳红
2,法学,新疆大学,规划基金项目,多民族高校开展公民意识教育问题研究-以新疆高校为例,10XJJA820002,"吐尔逊·沙
吾尔"
3,法学,新疆大学,青年基金项目,多民族地区身份认同中的法律问题-----以新疆为视角,10XJJC820001,张建江
4,管理学,昌吉学院,规划基金项目,"主体功能区划政策背景下新疆贫困县可持续发展对策研究
—以木垒县为例",10XJJA630002,刘玉燕
5,管理学,新疆财经大学,规划基金项目,新疆本土企业成长路径研究,10XJJA630001,郭元珍
6,国际问题研究,新疆财经大学,青年基金项目,中国对哈萨克斯坦农产品出口贸易研究——基于新疆视角,10XJJCGJW001,胡颖
7,国际问题研究,新疆财经大学,青年基金项目,"中国企业开拓中亚五国市场的跨国经营风险管理研究——
基于贸易和投资视角",10XJJCGJW002,李钦
8,"交叉学科/综合
研究",和田师范专科学校,规划基金项目,塔里木盆地南缘地区沙产业发展研究,10XJJAZH002,"土尔逊托合
提·买土送"
9,"交叉学科/综合
研究",新疆农业大学,规划基金项目,新疆汉族学习少数民族语言的历史与现状,10XJJAZH001,郭兰
10,"交叉学科/综合
研究",石河子大学,青年基金项目,"新疆维、哈、回、柯尔克孜、蒙少数民族女性休闲参与、
休闲阻碍与生活品质的研究",10XJJCZH001,冯媛媛
11,"交叉学科/综合
研究",石河子大学,青年基金项目,基于SOA架构的新疆农产品供应链信息共享机制研究,10XJJCZH002,李志刚
12,"交叉学科/综合
研究",石河子大学,青年基金项目,新疆发展稳定与国家政策扶持研究,10XJJCZH004,张彦虎
13,"交叉学科/综合
研究",新疆大学,青年基金项目,新疆电影研究,10XJJCZH003,张华
14,教育学,新疆师范大学,规划基金项目,"新课程目标下的中学物理教学设计理论及其在新疆各民族
中学实践的研究",10XJJA880002,金美芳
15,教育学,伊犁师范学院,规划基金项目,新疆伊犁州小学民族认同感教育的研究,10XJJA880001,冯晖
16,教育学,石河子大学,青年基金项目,新疆3-6岁维吾尔族流动子女教育状况调查研究,10XJJC880001,方建华
17,教育学,新疆师范大学,青年基金项目,新疆小学双语教师实践知识的质的研究,10XJJC880002,李莉
18,教育学,新疆师范大学,青年基金项目,网络虚拟社区中的公民教育研究,10XJJC880003,王建虎
19,教育学,新疆师范大学,青年基金项目,新疆农村“双语”幼儿园课程资源开发与利用研究,10XJJC880004,王晓梅
20,经济学,新疆财经大学,规划基金项目,新时期新疆城乡居民收入与内地差距比较研究,10XJJA790002,赵锡平
21,经济学,新疆大学,规划基金项目,新疆煤炭资源开发生态补偿研究,10XJJA790001,吕雁琴
22,经济学,石河子大学,青年基金项目,基于生态安全的新疆产业结构优化研究,10XJJC790002,蒲佐毅
23,经济学,石河子大学,青年基金项目,投资者法律保护、公司治理结构与绩效研究,10XJJC790004,王建中
24,经济学,石河子大学,青年基金项目,农业开发对塔里木河流域水资源利用影响及对策研究,10XJJC790005,雍会
25,经济学,新疆大学,青年基金项目,我国能源资源合理开发利用与国家能源安全研究,10XJJC790003,师博
26,经济学,新疆师范大学,青年基金项目,新疆与中亚国家贸易安全预警机制研究,10XJJC790001,"阿布来提·
依明"
27,"马克思主义理论
/思想政治教育",新疆大学,规划基金项目,"改革开放以来少数民族地区马克思主义宗教观教育问题研
究——以新疆高校为例",10XJJA710001,许尔才
28,民族学与文化学,昌吉学院,规划基金项目,人类学视野下的新疆少数民族题材电影,10XJJA850001,邴波
29,民族学与文化学,新疆师范大学,规划基金项目,文化对话与和谐新疆建设研究,10XJJA850002,盖金伟
30,民族学与文化学,新疆师范大学,规划基金项目,促进新疆少数民族大学生就业的对策研究,10XJJA850003,李全胜
31,民族学与文化学,新疆艺术学院,规划基金项目,民国时期新疆各族文化促进会研究,10XJJA850004,左红卫
32,民族学与文化学,石河子大学,青年基金项目,构建和谐社会视角下的乌鲁木齐市维吾尔族休闲行为研究,10XJJC850002,冯晓华
33,民族学与文化学,石河子大学,青年基金项目,"新疆社会保障和改善民生对策研究——基于新疆基层的调
查与思考",10XJJC850003,赵雪冉
34,民族学与文化学,新疆师范大学,青年基金项目,"新疆双语小学少数民族维吾尔语文课程资源库建设与应用
研究",10XJJC850001,"阿达来提·
吐尔地"
35,艺术学,石河子大学,规划基金项目,新疆少数民族民间工艺美术数据库建设,10XJJA760001,王敏
36,艺术学,新疆师范大学,规划基金项目,维吾尔木卡姆口述史研究,10XJJA760002,王生耀
37,艺术学,新疆师范大学,青年基金项目,新疆维吾尔族民间土布印花艺术及其开发研究,10XJJC760001,王婧婧
38,艺术学,新疆师范大学,青年基金项目,新疆维吾尔族民间工艺传承现状的调查研究,10XJJC760002,王永亮
39,艺术学,新疆师范大学,青年基金项目,新疆锡伯族民间刺绣艺术研究,10XJJC760003,肖锟
40,艺术学,新疆师范大学,青年基金项目,龟兹石窟中的动物画研究,10XJJC760004,姚志虎
41,语言学,新疆师范大学,规划基金项目,语言规划下的新疆维汉语言接触社会语言学研究,10XJJA740001,陈华英
42,语言学,新疆医科大学,规划基金项目,"关于建立新疆高校少数民族预科汉语网络辅助自主学习平
台的研究",10XJJA740002,连吉娥
43,语言学,石河子大学,青年基金项目,新疆高校少数民族大学生英语学习策略调查与实证研究,10XJJC740004,油小丽
44,语言学,新疆财经大学,青年基金项目,"多元文化语境下新疆高校少数民族学生三语习得障碍与对
策研究",10XJJC740001,刘懋琼
45,语言学,新疆大学,青年基金项目,维吾尔语动词的配价分析及其应用研究,10XJJC740003,"吾买尔江·
库尔班"
46,语言学,新疆农业大学,青年基金项目,"采用语料库凸显归纳式学习模式实验新疆地区英语写作教
学的研究",10XJJC740005,张煜
47,语言学,新疆师范大学,青年基金项目,维吾尔和哈萨克谚语的共性,10XJJC740002,"木克达斯·
米尔扎"
48,中国文学,新疆师范大学,青年基金项目,新疆儿童文学接受与期待调查研究,10XJJC751001,王欢
