0,1,2,3,4,5,6
序号,学科门类,学校名称,项目类别,项目名称,项目批准号,项目负责人
1,法学,甘肃政法学院,规划基金项目,公益类事业单位改革中养老保险及其他相关立法问题研究,10XJA820002,何文杰
2,法学,桂林电子科技大学,规划基金项目,民事诉讼既判力理论研究,10XJA820001,邓辉辉
3,法学,桂林电子科技大学,规划基金项目,与自然保育有关的传统知识法律保护制度研究,10XJA820006,余俊
4,法学,内蒙古民族大学,规划基金项目,法律视角下的科尔沁非物质文化遗产保护,10XJA820003,娜仁图雅
5,法学,四川大学,规划基金项目,"检察机关监督行政诉讼的实证研究——以四川浙江河南20
年行政抗诉案件为素材",10XJA820007,喻中
6,法学,西南民族大学,规划基金项目,"法哲学的时代变革：法律虚拟——法律拟制与假定的认识
论探讨",10XJA820005,温晓莉
7,法学,西南政法大学,规划基金项目,文本何以承载其重--破解量刑改革路径,10XJA820004,王利荣
8,法学,西南政法大学,规划基金项目,美国司法制度演变及其对我国司法改革的启示,10XJA820008,张培田
9,法学,成都理工大学,青年基金项目,"小产权房发展趋势与法律对策研究——基于成渝经济区的
实证分析",10XJC820011,章合运
10,法学,甘肃政法学院,青年基金项目,"三农议题中农业遗传资源的知识产权保护-以农业遗传资源
权的确立为核心",10XJC820009,俞金香
11,法学,昆明理工大学,青年基金项目,环境影响评价监督机制研究,10XJC820004,吴满昌
12,法学,昆明理工大学,青年基金项目,刑事司法政策的基本问题,10XJC820012,周建军
13,法学,西北政法大学,青年基金项目,"劳动法基本概念的法哲学研究——基于和谐劳动关系法律
建构视角",10XJC820001,曹燕
14,法学,西华大学,青年基金项目,"彝族多元化纠纷解决机制研究——基于四川凉山彝族地区
的实证分析",10XJC820010,张邦铺
15,法学,西南大学,青年基金项目,当代法律实证主义研究,10XJC820005,熊毅军
16,法学,西南大学,青年基金项目,互联网免费服务使用者权利保护研究,10XJC820006,杨攀
17,法学,西南政法大学,青年基金项目,"城乡统筹背景下城市流浪乞讨人员行政救助理论与实证研
究",10XJC820003,梁洪霞
18,法学,宜宾学院,青年基金项目,"比较法研究中功能主义原则的缺陷及其克服--兼论法律文
化和法律移植诸问题",10XJC820002,雷安军
