0,1,2,3,4,5,6
序号,学科门类,学校名称,项目类别,项目名称,项目批准号,申请人
1,法学,新疆大学,规划基金项目,中国与中亚、俄罗斯石油合作法律机制研究,11XJJA820001,秦鹏
2,法学,新疆大学,青年基金项目,"暴力恐怖犯罪案件中检察权配置问题研究--以新疆暴
力恐怖犯罪案件为中心",11XJJC820001,杨为程
3,法学,新疆大学,青年基金项目,制约新疆外贸发展的法律因素研究,11XJJC820002,钟磊
4,管理学,新疆财经大学,规划基金项目,"新疆中小工业企业预算质量改进研究——基于援疆背
景下自身管理创新视角",11XJJA630001,高严
5,管理学,石河子大学,青年基金项目,产品市场竞争、审计质量与权益资本成本,11XJJC630001,魏卉
6,管理学,新疆医科大学,青年基金项目,乌鲁木齐市社区公共卫生服务提供模式及干预研究,11XJJC630002,谢慧玲
7,交叉学科/综合研究,石河子大学,规划基金项目,生产过程智能调度方法研究及调度系统设计,11XJJAZH001,郭理
8,交叉学科/综合研究,石河子大学,规划基金项目,新疆少数民族学生国家认同研究,11XJJAZH003,张勇
9,交叉学科/综合研究,新疆大学,规划基金项目,"双语与人文生态环境交互作用机理研究——以新疆维
吾尔族汉维双语为例",11XJJAZH002,靳焱
10,交叉学科/综合研究,喀什师范学院,青年基金项目,南疆体育旅游市场运作机制及发展对策研究,11XJJCZH002,隋红
11,交叉学科/综合研究,新疆大学,青年基金项目,新疆文化地理与新疆当代散文,11XJJCZH004,汪娟
12,交叉学科/综合研究,新疆师范大学,青年基金项目,伊犁河谷土地利用时空变化及其对生态安全的影响,11XJJCZH003,孙慧兰
13,交叉学科/综合研究,新疆艺术学院,青年基金项目,教育人类学视野下的维吾尔民间游戏研究,11XJJCZH001,"阿不来提.
吉力力"
14,教育学,石河子大学,青年基金项目,社会和谐视阈下少数民族大学生就业趋势研究,11XJJC880001,刘青广
15,经济学,新疆财经大学,规划基金项目,"族群空间分布视角下城市化与城乡收入差异的空间计
量研究--以新疆为例",11XJJA790001,周勇
16,经济学,石河子大学,青年基金项目,新疆城镇污水处理价格形成机制及管理研究,11XJJC790002,马乃毅
17,经济学,石河子大学,青年基金项目,"资源环境约束与生态脆弱区产业升级路径研究——以
新疆化工产业为例",11XJJC790003,马远
18,经济学,新疆农业大学,青年基金项目,区域煤化工产业低碳型发展模式研究——以新疆为例,11XJJC790001,李莉
19,经济学,"新疆石河子职业技术
学院",青年基金项目,新疆职业教育与产业结构的互动研究,11XJJC790004,王冬梅
20,历史学,和田师范专科学校,规划基金项目,新疆维吾尔族扎吉德教育研究,11XJJA770001,"热合木吐拉
·艾山"
21,历史学,新疆大学,青年基金项目,"民国时期新疆与中央政府的关系——以政治格局、国
际关系、多元文化等为视点",11XJJC770001,何永明
22,历史学,新疆师范大学,青年基金项目,清至民国新疆乡约制度研究,11XJJC770002,赵丽君
23,"马克思主义理论/思
想政治教育",新疆财经大学,规划基金项目,新疆多民族地区各民族公民身份和国家认同研究,11XJJA710001,莫红梅
24,"马克思主义理论/思
想政治教育",新疆大学,规划基金项目,新疆高校少数民族大学生中华文化认同教育研究,11XJJA710002,王霞
25,"马克思主义理论/思
想政治教育",塔里木大学,青年基金项目,加强新疆少数民族大学生马克思主义历史观教育研究,11XJJC710001,张玉祥
26,民族学与文化学,新疆师范大学,规划基金项目,新疆少数民族农（牧）民流动人口调查研究,11XJJA850001,王平
27,民族学与文化学,新疆大学,青年基金项目,返乡维吾尔族流动人口对新疆社会发展的影响研究,11XJJC850002,李乐
28,民族学与文化学,新疆医科大学,青年基金项目,城镇化建设中新疆本土文化的吸收和利用,11XJJC850001,付江
29,社会学,石河子大学,规划基金项目,"新疆维吾尔族、哈萨克族老年人生活质量及社会养老
保障制度安排研究",11XJJA840001,李新辉
30,社会学,石河子大学,青年基金项目,新疆城市民汉之间居住空间分异与社会距离实证研究,11XJJC840004,王歆
31,社会学,石河子大学,青年基金项目,"人口老龄化背景下新疆农（牧）民养老风险与保障策
略研究",11XJJC840005,于长永
32,社会学,新疆师范大学,青年基金项目,"新疆多民族女性对社会性体格焦虑的应对及认知干预
研究",11XJJC840001,马嵘
33,社会学,新疆师范大学,青年基金项目,新疆少数民族农民工的城市社会适应性问题研究,11XJJC840002,涂伟
34,社会学,新疆医科大学,青年基金项目,新疆少数民族大学生汉语习得与文化趋同问题研究,11XJJC840003,王莉
35,心理学,新疆师范大学,青年基金项目,"新疆少数民族青少年民族认同心理与文化适应的跨文
化心理学研究",11XJJC190001,刘阳
36,新闻学与传播学,喀什师范学院,规划基金项目,新疆少数民族地区宗教人士与媒介接触之研究,11XJJA860001,封兴中
37,新闻学与传播学,塔里木大学,青年基金项目,新疆民语广播电视与少数民族文化的现代建构研究,11XJJC860001,何斌
38,新闻学与传播学,新疆大学,青年基金项目,新疆维吾尔族中学生国家认同观研究,11XJJC860002,杨梅
39,艺术学,新疆大学,规划基金项目,建国以来的新疆绘画艺术遗产抢救、保护与发展研究,11XJJA760001,"阿不来提.
马合苏提"
40,艺术学,新疆师范大学,规划基金项目,文革前十七年国家美术人才支援新疆情况研究,11XJJA760002,康书增
41,艺术学,新疆师范大学,青年基金项目,维吾尔族传统首饰艺术研究,11XJJC760001,"热娜.买买
提"
42,艺术学,新疆师范大学,青年基金项目,中亚细密画与中国工笔重彩画的艺术风格比较研究,11XJJC760002,王静
43,语言学,昌吉学院,规划基金项目,"新疆高校少数民族汉语教学中的文化缺失状况调查及
策略研究",11XJJA740004,骆惠珍
44,语言学,石河子大学,规划基金项目,新疆兵团双语教育区内初中班办学模式教学策略研究,11XJJA740002,党福年
45,语言学,新疆大学,规划基金项目,论维吾尔语词汇语义及其语用分析,11XJJA740001,"阿不力米
提.尤努斯"
46,语言学,新疆大学,规划基金项目,新疆俄语高级口译人才培养方略,11XJJA740003,"哈斯也提.
哈孜"
47,语言学,新疆医科大学,规划基金项目,"维吾尔族大学生维-汉-英三语习得过程中的语际迁移
研究",11XJJA740005,杨华
