0,1,2,3,4,5,6
序号,学科门类,学校名称,项目类别,项目名称,项目批准号,申请人
1,法学,安徽大学,规划基金项目,我国危害食品安全犯罪体系研究,11YJA820006,陈结淼
2,法学,安徽大学,规划基金项目,回应型监督理论与监督机制研究：以县委权力为例,11YJA820094,杨成炬
3,法学,安徽工业大学,规划基金项目,节能减排背景下政府环境责任实现机制研究,11YJA820012,邓可祝
4,法学,安徽工业大学,规划基金项目,企业慈善捐赠法律保障机制研究,11YJA820053,戚枝淬
5,法学,北京大学,规划基金项目,我国原子能立法研究,11YJA820067,唐应茂
6,法学,北京大学,规划基金项目,国际视野中的我国反洗钱立法与完善,11YJA820078,王新
7,法学,北京工商大学,规划基金项目,体育知识产权保护问题研究,11YJA820090,徐康平
8,法学,北京工业大学,规划基金项目,"后金融危机时代中国制造业产业升级的知识产权战略
研究",11YJA820032,靳晓东
9,法学,北京工业大学,规划基金项目,内幕交易监管的困境及其对策研究,11YJA820051,聂孝红
10,法学,北京师范大学,规划基金项目,事业单位改革中法人治理结构及其法律调控模式研究,11YJA820085,夏利民
11,法学,北京外国语大学,规划基金项目,"社会转型期的群体性暴力事件与“仇恨犯罪”治理控
制研究",11YJA820077,王文华
12,法学,长安大学,规划基金项目,西北地区能源开发生态保护长效机制研究,11YJA820047,刘志
13,法学,东北财经大学,规划基金项目,符合GPA要求的政府采购救济机制构建研究,11YJA820115,张幸临
14,法学,东北林业大学,规划基金项目,非公有制林业管理法律制度体系研究,11YJA820002,包玉华
15,法学,对外经济贸易大学,规划基金项目,中国发展低碳金融的法律保障体系研究,11YJA820014,丁丁
16,法学,对外经济贸易大学,规划基金项目,我国证券市场国际板设立中法律问题研究,11YJA820050,马其家
17,法学,广东金融学院,规划基金项目,知识产权交叉案件合一审判模式的司法公信力研究,11YJA820001,安雪梅
18,法学,广东外语外贸大学,规划基金项目,电子化行政行为及其法律规制研究,11YJA820097,杨桦
19,法学,广西师范大学,规划基金项目,"RTA协定中投资机制研究——兼论以FTA中的投资规则
保护中国海外投资",11YJA820098,杨丽艳
20,法学,贵州师范大学,规划基金项目,"民族区域自治权的虚置及其对策研究——基于黔东南
苗族侗族自治州的实证分析",11YJA820096,杨贵生
21,法学,哈尔滨工业大学,规划基金项目,一个中国原则下两岸关系和平发展中的法律问题研究,11YJA820020,葛勇平
22,法学,哈尔滨商业大学,规划基金项目,涉及公众人物侵权问题研究,11YJA820074,王福友
23,法学,海南大学,规划基金项目,我国民法典中私权一体化与三元结构的立法设计,11YJA820036,李建华
24,法学,海南大学,规划基金项目,"海南国际旅游岛建设所涉知识产权培育、保护和利用
问题研究",11YJA820045,刘远山
25,法学,海南大学,规划基金项目,南海油气资源开发法律问题研究,11YJA820111,张丽娜
26,法学,河南财经政法大学,规划基金项目,"清末民初习惯法与国家法的关系探析——立足于社会
控制的视野",11YJA820049,马珺
27,法学,黑龙江大学,规划基金项目,生态保护与物权配置研究,11YJA820007,陈文
28,法学,黑龙江大学,规划基金项目,我国票据法修改方案的设计及其立法理由,11YJA820015,董惠江
29,法学,黑龙江大学,规划基金项目,俄罗斯法治进程中的文化影响力研究,11YJA820093,杨昌宇
30,法学,湖南大学,规划基金项目,消费者保护中的冷却期制度研究,11YJA820110,张靖
31,法学,湖南警察学院,规划基金项目,虚拟社会治安防控研究,11YJA820121,周定平
32,法学,湖南农业大学,规划基金项目,"竞争政策视野下商标法理论研究——关系、协调及制
度构建",11YJA820048,罗晓霞
33,法学,湖南人文科技学院,规划基金项目,农村宅基地使用权法律问题研究,11YJA820105,袁锦秀
34,法学,湖南商学院,规划基金项目,能动司法语境下非正式法源适用研究,11YJA820026,胡君
35,法学,湖南师范大学,规划基金项目,两岸投资关系的法律问题研究,11YJA820084,吴智
36,法学,湖南师范大学,规划基金项目,地方人大与其常委会立法权限划分研究,11YJA820087,肖巧平
37,法学,湖南师范大学,规划基金项目,法院裁判与民意的冲突及其解决机制,11YJA820125,朱立恒
38,法学,华东政法大学,规划基金项目,十二五期间我国商法领域工作重点——票据法修改,11YJA820038,李伟群
39,法学,华东政法大学,规划基金项目,重罪案件刑事和解中价值冲突及裁判平衡研究,11YJA820039,李翔
40,法学,华东政法大学,规划基金项目,改革中中国立法的作用,11YJA820042,刘松山
41,法学,华东政法大学,规划基金项目,"《条约保留实践指南》及其与中国条约保留制度完善
之研究",11YJA820079,王勇
42,法学,华东政法大学,规划基金项目,经营者合并审查中的效率抗辩制度研究,11YJA820120,钟文兴
43,法学,华南理工大学,规划基金项目,基因信息的法律保护与基因伦理的构建,11YJA820123,周莳文
44,法学,华南农业大学,规划基金项目,"统筹城乡建设用地整理及再开发法律规制研究——基
于当前土地“新政”实践之检讨",11YJA820075,王权典
45,法学,华中师范大学,规划基金项目,县级政府依法行政动力的优化与开发研究,11YJA820101,姚锐敏
46,法学,淮北师范大学,规划基金项目,区域合作背景下地方联合立法研究,11YJA820072,王春业
47,法学,惠州学院,规划基金项目,"京师同文馆输入的西方法学及其术语研究——以《万
国公法》为中心",11YJA820070,万齐洲
48,法学,吉林大学,规划基金项目,我国破产重整制度的法经济学分析,11YJA820056,齐明
49,法学,吉林大学,规划基金项目,行政诉讼案例类型化研究,11YJA820103,于立深
50,法学,嘉兴学院,规划基金项目,精细化司法证明中逻辑与经验基本问题研究,11YJA820037,李树真
51,法学,江南大学,规划基金项目,法律适用中的法律解释之客观性研究,11YJA820033,雷玉德
52,法学,江苏大学,规划基金项目,社会资本理论视阈下的公民参与社区矫正研究,11YJA820122,周国强
53,法学,江西财经大学,规划基金项目,互联网产业的反垄断法适用问题研究,11YJA820030,蒋岩波
54,法学,九江学院,规划基金项目,环境侵害之国家赔偿责任研究,11YJA820025,贺思源
55,法学,辽宁大学,规划基金项目,银行监管权配置的法律问题研究,11YJA820099,杨松
56,法学,南京大学,规划基金项目,经济犯罪刑事政策研究,11YJA820062,孙国祥
57,法学,南京大学,规划基金项目,后金融危机时代公司治理规制创新研究,11YJA820083,吴建斌
58,法学,南京理工大学,规划基金项目,反垄断法实施中的行业协会研究——正功能及其机理,11YJA820016,董新凯
59,法学,南京审计学院,规划基金项目,我国区（县）法治绩效评估体系研究,11YJA820040,刘爱龙
60,法学,南京师范大学,规划基金项目,法院职权优化配置研究,11YJA820024,贺日开
61,法学,南京师范大学,规划基金项目,网络民意的司法回应机制研究,11YJA820029,季金华
62,法学,曲阜师范大学,规划基金项目,群体性事件下的依法治县研究,11YJA820116,张益刚
63,法学,山东大学,规划基金项目,涉外民事关系法律适用法的司法解释问题研究,11YJA820091,许庆坤
64,法学,山东工商学院,规划基金项目,刑事瑕疵证据的实证研究与理论阐释,11YJA820028,胡忠惠
65,法学,山东理工大学,规划基金项目,刑法的边界研究,11YJA820095,杨春然
66,法学,山东理工大学,规划基金项目,环境刑法实施效率研究,11YJA820107,张福德
67,法学,山东理工大学,规划基金项目,发展低碳经济的政策法律研究,11YJA820124,朱伯玉
68,法学,山东政法学院,规划基金项目,从传统到现代：英国法律人才培养机制转型研究,11YJA820022,韩慧
69,法学,山东政法学院,规划基金项目,刑事辩护中的利益冲突与执业规范建构研究,11YJA820100,杨晓静
70,法学,山东政法学院,规划基金项目,中韩环境犯罪的比较研究,11YJA820114,张霞
71,法学,山西大学,规划基金项目,"山西省转型综合改革试验区建设中土地管理机制创新
研究",11YJA820023,何建华
72,法学,汕头大学,规划基金项目,未成年人救助与保障制度研究,11YJA820089,熊金才
73,法学,上海海事大学,规划基金项目,"物权法实施中农民土地财产权保护问题研究－－从农
地动态利用角度",11YJA820076,王铁雄
74,法学,沈阳师范大学,规划基金项目,"刑事被害人的社会保障制度研究---以加强和创新社会
管理为视角",11YJA820069,田鹏辉
75,法学,首都经济贸易大学,规划基金项目,国际组织在我国的法律地位,11YJA820088,谢海霞
76,法学,首都经济贸易大学,规划基金项目,新媒体法律规制研究,11YJA820119,郑文明
77,法学,四川大学,规划基金项目,"中国民间对日索赔中的国际法问题研究—以重庆大轰
炸受害者索赔为典型的实证分析",11YJA820031,金明
78,法学,四川大学,规划基金项目,"清代官箴及其在清代地方司法中的影响——以清代四
川为例",11YJA820118,赵娓妮
79,法学,苏州大学,规划基金项目,城镇化政府推进的程序法理,11YJA820063,孙莉
80,法学,苏州大学,规划基金项目,私人参与履行警察任务的行政法研究,11YJA820117,章志远
81,法学,天津商业大学,规划基金项目,民事政策的法源性研究,11YJA820055,齐恩平
82,法学,武汉大学,规划基金项目,"收入分配调整与金融法制的变革——以金融资源的公
平配置为中心",11YJA820017,冯果
83,法学,武汉大学,规划基金项目,"审计实务中企业合同效力控制研究----以防范国有资
产流失为考察点",11YJA820034,黎桦
84,法学,武汉大学,规划基金项目,香港特别行政区基本法解释问题研究,11YJA820057,秦前红
85,法学,武汉大学,规划基金项目,和谐社会建设与合作式司法改革,11YJA820058,任华哲
86,法学,西北政法大学,规划基金项目,社区矫正的风险评估与管控机制研究,11YJA820018,冯卫国
87,法学,西北政法大学,规划基金项目,侵权责任法实施问题研究,11YJA820064,孙玉红
88,法学,西北政法大学,规划基金项目,个人的国际刑事责任研究,11YJA820104,喻贵英
89,法学,西南交通大学,规划基金项目,"专利添附制度研究——以中国高铁技术创新与发展为
例",11YJA820005,陈家宏
90,法学,西南科技大学,规划基金项目,"社会管理创新下的西部民族地区多元纠纷解决机制研
究",11YJA820044,刘永强
91,法学,西南民族大学,规划基金项目,城乡统筹背景下“小产权房”法律规制研究,11YJA820081,吴爱辉
92,法学,西南政法大学,规划基金项目,"风险社会视域下中立参与行为的刑法边界研究——以
177个案例和23个司法解释为素材",11YJA820035,李邦友
93,法学,西南政法大学,规划基金项目,完善我国农村土地征收补偿法律制度研究,11YJA820082,吴春燕
94,法学,西南政法大学,规划基金项目,量刑程序中的证据和证明问题研究,11YJA820108,张吉喜
95,法学,厦门大学,规划基金项目,"涉台民商事案件法律适用问题研究——以司法解释为
切入点",11YJA820102,于飞
96,法学,湘潭大学,规划基金项目,借鉴与移植：外来宪政文化对中国的影响,11YJA820086,夏新华
97,法学,新疆大学,规划基金项目,知识产权战略视野下新疆传统知识法律保护研究,11YJA820073,王芳
98,法学,烟台大学,规划基金项目,反假冒贸易协定的挑战与对策研究,11YJA820060,宋红松
99,法学,盐城师范学院,规划基金项目,公民网络监督法律机制研究,11YJA820013,丁大晴
100,法学,燕山大学,规划基金项目,我国社区矫正中人身危险性评估研究,11YJA820041,刘立霞
101,法学,扬州大学,规划基金项目,国家补充责任研究,11YJA820003,陈恩才
102,法学,扬州大学,规划基金项目,共有权行使的制度创新,11YJA820027,胡吕银
103,法学,扬州大学,规划基金项目,信托制度的民法分析与民法典信托编的制定,11YJA820046,刘正峰
104,法学,云南大学,规划基金项目,"法律起源与国家法形成规律探析—以西南少数民族神
话等文本为例",11YJA820008,陈永邺
