0,1,2,3,4,5,6
序号,学科门类,学校名称,项目类别,项目名称,项目批准号,申请人
1,法学,新疆财经大学,规划基金项目,中亚宗教与犯罪预防关系研究,12XJJA820001,李瑞生
2,法学,塔里木大学,青年基金项目,维吾尔族习惯法与国家法的冲突与调适,12XJJC820001,徐勇
3,法学,新疆农业大学,青年基金项目,新疆高校民族学生对“三股势力”恐怖犯罪认知的研究,12XJJC820002,杨立敏
4,法学,新疆农业大学,青年基金项目,"民族地区生态旅游可持续发展的法制建设研究--以喀纳
斯自然保护区为例",12XJJC820003,杨晓萍
5,国际问题研究,新疆财经大学,青年基金项目,"新疆对俄白哈经济一体化市场的投资风险评价及管控对
策研究",12XJJCGJW001,许云霞
6,交叉学科/综合研究,新疆财经大学,规划基金项目,新疆少数民族地区文明风尚建设研究,12XJJAZH001,胡燕
7,交叉学科/综合研究,塔里木大学,青年基金项目,新疆维吾尔族内地务工人员回乡创业跟踪研究,12XJJCZH001,蒋志辉
8,交叉学科/综合研究,新疆大学,青年基金项目,当代中国影视作品中的新疆形象研究,12XJJCZH002,朱冬梅
9,教育学,昌吉学院,规划基金项目,新疆乡土教育资源开发与加强民族团结教育研究,12XJJA880002,刘刚
10,教育学,喀什师范学院,规划基金项目,南疆民族教师教育一体化实践教学模式研究,12XJJA880001,艾小平
11,教育学,新疆师范大学,规划基金项目,"新疆少数民族地区中学历史双语教师专业素质现状调查
研究",12XJJA880003,王继平
12,教育学,石河子大学,青年基金项目,"新疆民族数学课程资源开发与利用研究—基于对维吾尔
族、哈萨克族传统数学文化的调查",12XJJC880002,刘超
13,教育学,新疆师范大学,青年基金项目,新疆少数民族双语教育模式及其成效调查研究,12XJJC880001,陈得军
14,经济学,石河子大学,规划基金项目,地方政府政绩考核对上市公司会计稳健性影响研究,12XJJA790002,刘嫦
15,经济学,新疆财经大学,规划基金项目,俄白哈关税同盟对新疆外贸的影响及新疆的对策,12XJJA790001,程云洁
16,经济学,新疆财经大学,规划基金项目,"新疆工业空间布局优化与区域协调发展研究-基于资源
和环境的视角",12XJJA790004,肖春梅
17,经济学,新疆师范大学,规划基金项目,俄白哈关税同盟影响下的中国与中亚区域经济合作研究,12XJJA790003,王维然
18,经济学,石河子大学,青年基金项目,"边境民族特殊类型贫困地区扶贫开发机制研究——以新
疆边境贫困地区为例",12XJJC790002,刘林
19,经济学,石河子大学,青年基金项目,"可追溯食品额外生产成本的共担机制与政府支持政策研
究",12XJJC790003,刘晓琳
20,经济学,石河子大学,青年基金项目,新疆物流产业与区域经济协调发展研究,12XJJC790004,王春豪
21,经济学,石河子大学,青年基金项目,产业组织对新疆果农经营行为的影响及其发展政策研究,12XJJC790005,王太祥
22,经济学,石河子大学,青年基金项目,边疆安全视角下新疆新型城镇化动力机制研究,12XJJC790006,张杰
23,经济学,新疆大学,青年基金项目,新疆文化产业发展战略研究,12XJJC790001,甘晓成
24,历史学,新疆师范大学,规划基金项目,明代哈密研究,12XJJA770001,施新荣
25,"马克思主义理论/思
想政治教育",塔里木大学,青年基金项目,"国家认同视阈下新疆高校少数民族大学生爱国主义教育
创新研究",12XJJC710003,张泰琦
26,"马克思主义理论/思
想政治教育","新疆农业职业技
术学院",青年基金项目,"新疆地区高职院校大学生民族意识合理引导及国家意识
、公民意识培养的有效途径研究",12XJJC710001,李晓瞳
27,"马克思主义理论/思
想政治教育",新疆医科大学,青年基金项目,"边疆少数民族地区国家意识教育有效途径研究——以新
疆地区为例",12XJJC710002,汤先萍
28,民族学与文化学,石河子大学,青年基金项目,天山北坡经济区牧民可持续生计研究,12XJJC850006,杨乐
29,民族学与文化学,新疆财经大学,青年基金项目,"文化价值观对会计人员应用会计准则的影响机理实证研
究",12XJJC850004,胡本源
30,民族学与文化学,新疆大学,青年基金项目,新疆少数民族民俗与文化生态研究,12XJJC850008,朱贺琴
31,民族学与文化学,新疆师范大学,青年基金项目,民族学视野下的维吾尔族宗教群体（Jamaat）研究,12XJJC850001,"艾比不拉·
卡地尔"
32,民族学与文化学,新疆师范大学,青年基金项目,中国柯尔克孜族信仰现状调查研究,12XJJC850002,"古丽巴哈尔
·胡吉西"
33,民族学与文化学,新疆师范大学,青年基金项目,新疆少数民族双语教师身份认同研究,12XJJC850003,关文军
34,民族学与文化学,新疆师范大学,青年基金项目,社会转型期的新疆哈萨克阿依特斯文化研究,12XJJC850005,"努尔巴哈提
·吐尔逊"
35,民族学与文化学,新疆医科大学,青年基金项目,援疆工作中的新疆少数民族利益实现研究,12XJJC850007,殷冀锋
36,社会学,伊犁师范学院,规划基金项目,"边疆少数民族地区公共文化与文化产业融合发展提升文
化软实力研究—以伊犁州为例",12XJJA840001,李敏
37,统计学,新疆财经大学,青年基金项目,时空数据非参数局部建模方法及其应用研究,12XJJC910001,王合玲
38,外国文学,伊犁师范学院,规划基金项目,美国绘图小说中的现实主义研究,12XJJA752001,刘锋
39,新闻学与传播学,新疆大学,规划基金项目,"维吾尔语主流媒体在新疆少数民族聚居区的影响力产生
机制与效果研究",12XJJA860001,张允
40,新闻学与传播学,新疆大学,青年基金项目,新疆非物质文化遗产网络传播现状分析与对策研究,12XJJC860001,郜玉金
41,艺术学,伊犁师范学院,规划基金项目,新疆哈萨克族民俗音乐史研究,12XJJA760001,"叶勒木拉提
·图亚克"
42,艺术学,新疆师范大学,青年基金项目,新疆维吾尔文古籍形态研究,12XJJC760001,任文杰
43,艺术学,新疆师范大学,青年基金项目,新疆维吾尔建筑彩绘艺术研究,12XJJC760002,石妙春
44,艺术学,新疆艺术学院,青年基金项目,新疆本土电影地域性研究,12XJJC760003,吴玉霞
45,语言学,新疆财经大学,规划基金项目,"珍贵新疆古籍纳瓦依《四卷诗》三语语料库的构建及基
于语料库的少数民族文化翻译研究",12XJJA740001,于风军
46,语言学,塔里木大学,青年基金项目,新疆高校汉维民族大学生跨文化交际礼貌用语对比研究,12XJJC740001,崔有为
47,语言学,新疆财经大学,青年基金项目,维吾尔语韵律模式实验研究,12XJJC740005,"吐尔逊·卡
得"
48,语言学,新疆大学,青年基金项目,不同环境下的汉语学习者汉语交际策略研究,12XJJC740003,李圃
49,语言学,新疆农业大学,青年基金项目,基于语言经济学的新疆少数民族外语人才培养研究,12XJJC740007,张建磊
50,语言学,新疆师范大学,青年基金项目,现代维吾尔语词义标注语料库半自动构建及应用研究,12XJJC740006,杨勇
51,语言学,新疆医科大学,青年基金项目,新疆维吾尔族学生汉语口语偏误分析与中介语研究,12XJJC740002,邓雪琴
