0,1,2,3,4,5,6
序号,学科门类,学校名称,项目类别,项目名称,项目批准号,申请人
1,管理学,西藏民族学院,规划基金项目,"基于游客期望、感知与记忆信息链分析的西藏旅游服务神经
网络评价模型构建及其应用研究",12XZJA630001,姬梅
2,管理学,西藏大学,青年基金项目,参考群体影响下的吸引效应、折衷效应研究,12XZJC630001,杜青龙
3,经济学,西藏大学,规划基金项目,西藏农牧区反贫困特殊制度安排与机制设计研究,12XZJA790001,刘天平
4,经济学,西藏大学,青年基金项目,藏东南农牧民可持续生计研究,12XZJC790001,郝文渊
5,经济学,西藏大学,青年基金项目,宗教信仰对工布地区农村居民消费的影响研究,12XZJC790002,宋连久
6,经济学,西藏大学,青年基金项目,西藏新型工业化模式研究,12XZJC790003,刘永华
7,"马克思主义理论/
思想政治教育",西藏大学,规划基金项目,法律信仰与西藏高校核心价值观教育研究,12XZJA710001,卫绒娥
8,民族学与文化学,西藏民族学院,青年基金项目,"西藏绿色会计核算体系设计研究—基于建设西藏生态安全屏
障的视角",12XZJC850001,唐静
9,民族学与文化学,西藏民族学院,青年基金项目,门巴族、珞巴族非物质文化遗产保护及旅游开发研究,12XZJC850002,马宁
10,新闻学与传播学,西藏大学,青年基金项目,西藏报业影响力评估及提升路径研究,12XZJC860001,周晓艳
11,艺术学,西藏大学,规划基金项目,西藏民族民间舞蹈文化研究,12XZJA760001,罗旦
