0,1,2,3,4,5,6
序号,学科门类,学校名称,项目类别,项目名称,项目批准号,申请人
1,法学,安徽大学,规划基金项目,社会保险基金投资运营法律规制研究,12YJA820097,张宇润
2,法学,安徽工业大学,规划基金项目,三网融合中的版权问题及其协同治理机制研究,12YJA820001,曹世华
3,法学,北方工业大学,规划基金项目,司法独立与民主可问责性研究,12YJA820020,韩红兴
4,法学,北京大学,规划基金项目,中国住房保障法律制度：路径依赖与创新,12YJA820045,楼建波
5,法学,北京工业大学,规划基金项目,我国专利资产证券化的法律制度研究,12YJA820029,季景书
6,法学,北京科技大学,规划基金项目,《婚姻法》及其司法解释对农村婚姻家庭的影响,12YJA820078,王竹青
7,法学,北京理工大学,规划基金项目,技术移民法立法与引进海外人才,12YJA820040,刘国福
8,法学,北京师范大学,规划基金项目,中国土地法律历史变迁研究,12YJA820003,柴荣
9,法学,北京师范大学,规划基金项目,刑事程序违法的定量分析,12YJA820069,王超
10,法学,常州大学,规划基金项目,网络消费安全的法律规制研究,12YJA820055,钱玉文
11,法学,常州工学院,规划基金项目,"城乡一体化发展中农民权利保护的法律制度研究——基于
苏南农村的视角",12YJA820023,何虹
12,法学,电子科技大学,规划基金项目,WTO对能源贸易纪律的重构：以能源安全为视角,12YJA820066,唐旗
13,法学,东北财经大学,规划基金项目,无居民海岛使用权属的理论与实践探讨,12YJA820047,马得懿
14,法学,东北林业大学,规划基金项目,高等学校学生伤害事故处理实务及对策研究,12YJA820035,李景义
15,法学,东北林业大学,规划基金项目,动物园动物福利保护法律对策研究,12YJA820100,赵英杰
16,法学,对外经济贸易大学,规划基金项目,海洋石油污染损害赔偿制度比较研究,12YJA820074,王军
17,法学,福建警察学院,规划基金项目,目击证人辩认问题研究,12YJA820006,陈晓云
18,法学,福建警察学院,规划基金项目,刑事涉案财物处理问题研究,12YJA820026,胡宝珍
19,法学,福建师范大学,规划基金项目,宏观调控中的信赖保护问题研究,12YJA820077,王新红
20,法学,复旦大学,规划基金项目,清洁能源技术转移法律制度研究,12YJA820049,马忠法
21,法学,复旦大学,规划基金项目,公众参与型刑事政策：一种新型的刑事政策模式选择,12YJA820067,汪明亮
22,法学,甘肃政法学院,规划基金项目,“水合同”制度研究——水资源合理配置的私法路径探索,12YJA820048,马育红
23,法学,广东商学院,规划基金项目,我国农地融资法律问题研究,12YJA820052,彭虹
24,法学,广东商学院,规划基金项目,"大理院婚姻继承司法档案的整理与研究——以民初女性权
利变化为中心",12YJA820075,王坤
25,法学,广东商学院,规划基金项目,服务合同一般规则与立法模式研究,12YJA820092,曾祥生
26,法学,广西民族大学,规划基金项目,"权利的媒介救济——新媒体时代纠纷解决的媒介化范式研
究",12YJA820036,李立景
27,法学,海南大学,规划基金项目,黎族传统亲属习惯法及与当代国家法的冲突和协调,12YJA820021,韩立收
28,法学,河海大学,规划基金项目,民事司法的伦理维度及其实践问题研究,12YJA820007,陈秀萍
29,法学,河南财经政法大学,规划基金项目,《裁判表达的现实图景与制度重构》,12YJA820098,赵朝琴
30,法学,河南工业大学,规划基金项目,城镇化进程中粮食安全法体系的构建研究,12YJA820051,穆中杰
31,法学,湖南大学,规划基金项目,"形式法治与实质法治二元发展路径研究——以新加坡法律
治理模式为切入点",12YJA820017,高中
32,法学,湖南警察学院,规划基金项目,积极心理学视野的警察心理危机干预研究,12YJA820053,皮华英
33,法学,湖南师范大学,规划基金项目,侵权责任法和环保法双重视域下的环境共同侵权责任研究,12YJA820033,李慧玲
34,法学,湖南师范大学,规划基金项目,国际刑事法院管辖赦免例外研究,12YJA820041,刘健
35,法学,湖南文理学院,规划基金项目,"农民发展权保障模式理论与实证研究——以湘西北农村为
个案",12YJA820014,丁德昌
36,法学,湖州师范学院,规划基金项目,清代民间宗教治理研究,12YJA820105,周向阳
37,法学,华东理工大学,规划基金项目,立法后评估的原理与应用,12YJA820065,孙晓东
38,法学,华东政法大学,规划基金项目,行民交叉案件的诉讼模式研究,12YJA820037,李卫华
