0,1,2,3,4,5,6
序号,学科门类,学校名称,项目类别,项目名称,项目批准号,申请人
1,法学,甘肃政法学院,规划基金项目,西北民族地区新型恐怖活动犯罪及其法律对策研究,14XJA820001,屈耀伦
2,法学,四川外国语大学,规划基金项目,当事人诉讼费用转移机制研究,14XJA820002,文华良
3,法学,宜宾学院,青年基金项目,中国监狱服刑人员医疗保障制度研究,14XJC820001,王夏玮
4,管理学,成都理工大学,规划基金项目,网店虚假促销溢出效应研究：溢出条件、溢出方向和应对策略,14XJA630001,花海燕
5,管理学,成都中医药大学,规划基金项目,"基于TTM理论的我国城乡老年人群生命质量状况比较差异及个性
化健康干预模式研究",14XJA630003,王毅
6,管理学,西安电子科技大学,规划基金项目,核心企业领导力对技术创新战略联盟绩效的影响机理研究,14XJA630004,谢永平
7,管理学,西南财经大学,规划基金项目,"基于攀比动机的高管薪酬自利行为研究：影响机理、表现形式
与经济后果",14XJA630002,罗宏
8,管理学,兰州大学,青年基金项目,"政府绩效信息使用影响因素及作用机制——面向市级政府的实
证研究",14XJC630001,董静
9,管理学,兰州交通大学,青年基金项目,西北回族聚居区交通运输与区域经济耦合分析及鲁棒优化研究,14XJC630003,马昌喜
10,管理学,四川大学,青年基金项目,欧债危机背景下欧盟成员国公共管理改革比较研究,14XJC630007,严天钦
11,管理学,梧州学院,青年基金项目,我国雾霾防治政策的绩效测评及其优化策略研究,14XJC630002,林艳
12,管理学,西安电子科技大学,青年基金项目,"基于跨层面分析的风险投资机构空间分布及其对投资绩效的影
响研究",14XJC630006,王曦
13,管理学,西北大学,青年基金项目,"开放创新环境下组织柔性对企业创新的影响研究：基于组织双
元性视角",14XJC630009,张宸璐
14,管理学,西华师范大学,青年基金项目,政治关联属性、投资者法律保护与终极控制人治理,14XJC630004,潘林
序号,学科门类,学校名称,项目类别,项目名称,项目批准号,申请人
15,管理学,西南财经大学,青年基金项目,企业供应链风险下的成本弹性分析：基于我国上市公司数据,14XJC630008,杨石磊
16,管理学,西南财经大学,青年基金项目,"面向不确定情景的应急资源调配问题研究——基于公平与效率
兼顾的目标",14XJC630010,张汉鹏
17,管理学,西南石油大学,青年基金项目,"程序公平、分配公平和互动公平对积极组织心理影响的不同路
径：群体卷入模型的扩展研究",14XJC630005,王艇
18,管理学,重庆工商大学,青年基金项目,基于二层决策的大型工程建设项目调度多目标权衡问题研究,14XJC630011,郑欢
19,"交叉学科/综
合研究",成都师范学院,规划基金项目,西南地区民间美术的传承与教学体系建构,14XJAZH005,邹艳红
20,"交叉学科/综
合研究",兰州大学,规划基金项目,基于开放获取的敦煌学知识库构建与实证研究,14XJAZH001,董翔
21,"交叉学科/综
合研究",青海民族大学,规划基金项目,西北地区人口较少民族婚礼仪式的音乐人类学研究,14XJAZH003,苏娟
22,"交叉学科/综
合研究",西南民族大学,规划基金项目,"少数民族优秀传统文化与社会主义核心价值观的契合及践行研
究——以苗族为例",14XJAZH004,王岚
23,"交叉学科/综
合研究",宜宾学院,规划基金项目,西南农村留守家庭心理支持体系研究,14XJAZH002,何奎莲
24,"交叉学科/综
合研究",西南财经大学,青年基金项目,"食品供应链成员的多期动态质量投入与利润分享：基于公平偏
好的视角",14XJCZH001,丁川
25,"交叉学科/综
合研究",西南石油大学,青年基金项目,个体死亡条件下的安全知识积累与扩散机制研究,14XJCZH004,张羽
26,"交叉学科/综
合研究",重庆文理学院,青年基金项目,不完全信息下基于证据理论的直觉模糊多属性决策方法研究,14XJCZH002,冉令刚
27,"交叉学科/综
合研究",重庆文理学院,青年基金项目,中国消费者本土品牌负面刻板印象生成的根源及抑制策略研究,14XJCZH003,肖艳
28,教育学,"昆明冶金高等专科
学校",规划基金项目,高等职业教育内涵式发展评价及推进机制研究,14XJA880004,王资
29,教育学,陕西师范大学,规划基金项目,“学前教育三年行动计划”实施成效及民众满意度调查研究,14XJA880001,李少梅
30,教育学,"四川水利职业技术
学院",规划基金项目,创业教育与专业教育有机融合模式研究,14XJA880005,于建华
序号,学科门类,学校名称,项目类别,项目名称,项目批准号,申请人
31,教育学,西华师范大学,规划基金项目,教育公益组织在四川民族地区扶贫支教的实证研究,14XJA880003,王小丁
32,教育学,西南大学,规划基金项目,非物质文化传承的教育机制研究,14XJA880002,刘茜
33,教育学,广西民族大学,青年基金项目,均衡视域下义务教育问责制实施体系构建研究,14XJC880006,王瑜
34,教育学,贵阳学院,青年基金项目,在线实践社区促进区域间教师专业均衡发展研究,14XJC880002,邓国民
35,教育学,西北民族大学,青年基金项目,整合技术的藏汉双语理解性教学研究,14XJC880005,王妍莉
36,教育学,西北师范大学,青年基金项目,促进西北民族地区义务教育均衡发展的教师交流长效机制研究,14XJC880001,安富海
37,教育学,西北师范大学,青年基金项目,"西北地区省域内统筹城乡义务教育资源均衡配置研究——以甘
肃为例",14XJC880003,高小强
38,教育学,西北师范大学,青年基金项目,西北农村义务教育语文教师教科书使用调查研究,14XJC880004,李金云
39,经济学,西北大学,规划基金项目,丝绸之路经济带的形成机理及空间结构研究,14XJA790003,卫玲
40,经济学,西南财经大学,规划基金项目,基于Levy-copula的国际碳排放权套期保值与定价研究,14XJA790002,李瑾坤
41,经济学,西南民族大学,规划基金项目,空间相关性、区域融合与我国区域福祉统筹增进研究,14XJA790001,何雄浪
42,经济学,玉林师范学院,规划基金项目,"资源环境紧约束条件下扩大消费需求实现消费公平的绿色公共
消费政策研究",14XJA790004,许进杰
43,经济学,甘肃农业大学,青年基金项目,"基于创新驱动与产业链整合视角的河西走廊葡萄酒产业转型升
级研究",14XJC790002,陈强强
44,经济学,兰州商学院,青年基金项目,全球垂直专业化生产背景下东亚与世界经济周期协动性研究,14XJC790011,张璐
45,经济学,西安财经学院,青年基金项目,"资源富集区域“生态文明”评价体系构建研究——以陕北国家
级能源基地为例",14XJC790006,李瑞
46,经济学,西安理工大学,青年基金项目,中国转型时期农民工个体经营与城市社会融入研究,14XJC790003,崔玉玲
序号,学科门类,学校名称,项目类别,项目名称,项目批准号,申请人
47,经济学,西安理工大学,青年基金项目,人民币国际化进程中的金融风险生成机理及传导机制研究,14XJC790004,董鹏刚
48,经济学,西安外国语大学,青年基金项目,重要性判断、公司治理与财务重述信息披露,14XJC790001,陈丽英
49,经济学,西北大学,青年基金项目,西部地区农村信用社支农效率评价及提升路径研究,14XJC790008,师荣蓉
50,经济学,西北农林科技大学,青年基金项目,"基于农户异质性视角的碳汇生产激励机制研究——以黄土高原
退耕区为例",14XJC790013,张兴
51,经济学,西华师范大学,青年基金项目,西部民族地区旅游业发展推进新型城镇化的动力机制研究,14XJC790010,杨霞
52,经济学,西南财经大学,青年基金项目,媒体，投资者行为和中国市场的研究,14XJC790007,山立威
53,经济学,西南政法大学,青年基金项目,"内陆地区内生型产业集群嵌入全球价值链的升级机理及治理机
制研究",14XJC790005,贺斌
54,经济学,云南民族大学,青年基金项目,审计契约失效的政府监管机制研究,14XJC790012,张筱
55,经济学,重庆大学,青年基金项目,控制权转移的动机、过程与效果：市场化视角,14XJC790009,涂国前
56,历史学,咸阳师范学院,规划基金项目,《五大历数书汇编》研究,14XJA770001,唐泉
57,历史学,陕西理工学院,青年基金项目,明清渭河平原的寺庙与基层社会治理研究,14XJC770005,赵永翔
58,历史学,四川大学,青年基金项目,唐代岭南政治地理研究,14XJC770003,罗凯
59,历史学,西北大学,青年基金项目,明代兵部运行机制与中央军事决策研究,14XJC770001,曹循
60,历史学,西北大学,青年基金项目,清代男风问题研究,14XJC770002,董笑寒
61,历史学,西北师范大学,青年基金项目,清代河湟地区的族际关系与多元文化格局研究,14XJC770004,魏梓秋
62,"马克思主义/
思想政治教育",西南民族大学,规划基金项目,少数民族文化传承创新与社会主义核心价值观培育践行研究,14XJA710001,陈颜
序号,学科门类,学校名称,项目类别,项目名称,项目批准号,申请人
63,"马克思主义/
思想政治教育",陕西师范大学,青年基金项目,中国共产党的国家主权安全思想研究,14XJC710003,肖娴
64,"马克思主义/
思想政治教育",西南科技大学,青年基金项目,中国梦与中国特色社会主义关系研究,14XJC710002,李群山
65,"马克思主义/
思想政治教育",西南政法大学,青年基金项目,当前大学生政治认同感现状调查与教育对策研究,14XJC710001,金家新
66,"民族学与文化
学",贺州学院,规划基金项目,南岭民族走廊中段文化遗产传习与保护研究,14XJA850001,古贤明
67,"民族学与文化
学",四川警察学院,规划基金项目,启蒙与改良：彝族土司岭光电民族教育思想研究,14XJA850002,刘星
68,"民族学与文化
学",广西科技大学,青年基金项目,象征与交换：南岭走廊高地民族作物的人类学研究,14XJC850001,李鹏
69,"民族学与文化
学",西华师范大学,青年基金项目,媒介视域下的非物质文化遗产研究——以川东北地区非遗为例,14XJC850002,王亮
70,"民族学与文化
学",西南民族大学,青年基金项目,新媒体环境下康巴藏戏的传承与创新研究,14XJC850003,杨于卓
71,社会学,钦州学院,规划基金项目,西南石漠化连片区特困人群生存状况调查及对策研究,14XJA840001,莫绍深
72,社会学,甘肃政法学院,青年基金项目,网络舆情中群体极化现象问题研究,14XJC840002,王飞
73,社会学,贵州大学,青年基金项目,"城乡二元结构背景下西南农村“返乡年轻妇女”的生活方式转
换及其家庭地位研究",14XJC840001,蒲琨
74,社会学,贵州大学,青年基金项目,西南地区生态知识的传承与发展研究,14XJC840003,王婧
75,体育科学,云南师范大学,青年基金项目,边疆少数民族地区特色城镇体育旅游核心竞争力研究,14XJC890001,杨勇
76,统计学,陕西师范大学,青年基金项目,在线社交媒体大数据抽样方法的研究,14XJC910002,李雪
77,统计学,重庆大学,青年基金项目,离散观测时间下重尾风险模型的分红问题,14XJC910001,李曼曼
78,"图书馆、情报
与文献学",西北师范大学,规划基金项目,简帛学百年论著目录研究,14XJA870001,杨晓华
序号,学科门类,学校名称,项目类别,项目名称,项目批准号,申请人
79,"图书馆、情报
与文献学",西北师范大学,规划基金项目,西北地区农村居民信息贫富分化现状及政策启示研究,14XJA870002,周文杰
80,"图书馆、情报
与文献学",西南民族大学,青年基金项目,国民政府时期四川户政档案文献研究,14XJC870001,黄小忠
81,外国文学,西南科技大学,规划基金项目,二十世纪西方科幻小说的哥特传统与现代性研究,14XJA752001,陈才
82,外国文学,重庆大学,规划基金项目,外国儿童文学译介及其影响研究（1990-2010）,14XJA752002,陈晓莉
83,心理学,西南大学,规划基金项目,自信的文化心理机制研究,14XJA190001,毕重增
84,心理学,电子科技大学,青年基金项目,欺骗的神经机制和测谎新指标,14XJC190003,崔茜
85,心理学,宁夏大学,青年基金项目,加工偏差视角下的个体与群体印象形成机制相似性比较研究,14XJC190002,陈淑娟
86,心理学,陕西师范大学,青年基金项目,过分自信在对峙情境中的作用及机制,14XJC190001,毕研玲
87,心理学,西北师范大学,青年基金项目,"藏汉双文化者的社会认同及其神经机制—基于群体间语言偏差
的策略",14XJC190005,夏瑞雪
88,心理学,西南大学,青年基金项目,财富分配中的效率与公平问题引发的社会心理和神经反应研究,14XJC190006,曾建敏
89,心理学,云南民族大学,青年基金项目,云南少数民族语言中“数量词”的研究,14XJC190004,刘炜
90,"新闻学与传播
学",电子科技大学,规划基金项目,大数据时代的西部报业媒介融合策略研究,14XJA860001,詹恂
91,"新闻学与传播
学",广西大学,青年基金项目,1950年代初期上海新闻界思想改造运动研究,14XJC860001,丁骋
92,"新闻学与传播
学",西华师范大学,青年基金项目,"曾留守大学生网络行为及其成因、影响研究——以川、渝地区
为例",14XJC860004,张仕琼
93,"新闻学与传播
学",西南民族大学,青年基金项目,"西部少数民族地区省级媒体“城镇化报道”与凝聚社会共识的
关系研究",14XJC860003,俞运宏
94,"新闻学与传播
学",重庆文理学院,青年基金项目,"传媒安全视角下中国媒体话语失衡的根源及对策研究：以本土/
外国品牌负面事件报道为例",14XJC860002,刘进平
序号,学科门类,学校名称,项目类别,项目名称,项目批准号,申请人
95,艺术学,西北大学,规划基金项目,中国电影“新浪潮”比较研究,14XJA760002,郭越
96,艺术学,西南民族大学,规划基金项目,藏族音乐在城市文化生态中的价值建构,14XJA760001,陈波
97,艺术学,四川传媒学院,青年基金项目,唐宋逸品（格）研究补遗,14XJC760001,唐波
98,语言学,西北师范大学,规划基金项目,以综合认知能力和跨文化交际能力为目标的外语教学研究,14XJA740001,靳琰
99,语言学,重庆师范大学,规划基金项目,翻译理据学研究,14XJA740002,杨洁
100,语言学,大理学院,青年基金项目,大理白语声学特征的分布格局及其影响因子的研究,14XJC740004,杨建芳
101,语言学,贵州师范大学,青年基金项目,汉语转折范畴的历时演变研究,14XJC740001,陈丽
102,语言学,青海大学,青年基金项目,现代医学汉藏翻译方法与策略研究,14XJC740003,华欠桑多
103,语言学,曲靖师范学院,青年基金项目,近代西方传教士西南官话文献的语言学研究,14XJC740002,陈伟
104,哲学,广西大学,规划基金项目,伽达默尔教化解释学研究,14XJA720001,黄小洲
105,哲学,宝鸡文理学院,青年基金项目,明清关学与朱子学、阳明学关系研究,14XJC720001,米文科
106,哲学,西南政法大学,青年基金项目,现象学的马克思主义批判及其重构研究,14XJC720002,张立达
107,政治学,电子科技大学,青年基金项目,"民生政治视角下西部民族自治地区义务教育对学生国家认同度
影响研究",14XJC810001,叶本乾
108,中国文学,贵州民族大学,规划基金项目,空间理论视域下的新时期中国少数民族作家汉语小说研究,14XJA751001,颜水生
109,中国文学,呼和浩特民族学院,青年基金项目,汉蒙文学翻译批评研究,14XJC751001,"额日德木
图"
110,中国文学,内蒙古民族大学,青年基金项目,元曲曲式研究,14XJC751002,武秋莉
序号,学科门类,学校名称,项目类别,项目名称,项目批准号,申请人
111,宗教学,西安科技大学,青年基金项目,西藏阿里地区11-15世纪佛寺木雕研究,14XJC730002,李俊
112,宗教学,西南政法大学,青年基金项目,《成唯识论》研究——兼与安慧《唯识三十论》相比较,14XJC730001,高明
