0,1,2,3,4,5,6
序号,学科门类,项目名称,项目类别,项目批准号,申请人,学校名称
1,语言学,藏语语境下英语听力课程资源开发与利用研究,青年基金项目,15XZJC740001,白玛曲珍,西藏大学
2,艺术学,西藏民间仪式音乐“百”研究,规划基金项目,15XZJA760001,次珍,西藏大学
3,社会学,"和谐社会视野下西藏高校毕业生就业创业长效机制研
究",规划基金项目,15XZJA840001,陈进,西藏大学
4,社会学,西藏传统文化对现代法治建设的启示,青年基金项目,15XZJC840001,郭双节,西藏大学
5,"图书馆、情报与
文献学","藏族网络用户信息行为特征分析与图书馆服务策略研
究",规划基金项目,15XZJA870001,马凌云,西藏民族学院
6,教育学,西藏中等职业教育发展与对策研究,规划基金项目,15XZJA880002,李蓉,西藏大学
7,教育学,藏族初中生数学语言阅读教学策略研究,规划基金项目,15XZJA880001,巴桑卓玛,西藏大学
8,教育学,"基于创新驱动发展战略的西藏高校大学生创新创业能
力提升策略研究",青年基金项目,15XZJC880001,张兆基,西藏民族学院
9,统计学,西藏和谐社会建设综合评价的实证研究,青年基金项目,15XZJC910001,汪朋,西藏民族学院
10,"交叉学科/综合研
究",藏文文本的模式匹配研究,青年基金项目,15XZJCZH001,春燕,西藏大学
11,"交叉学科/综合研
究","治边稳藏视域下对口援藏制度的演进机制及路径优化
研究",青年基金项目,15XZJCZH002,吴春宝,西藏大学
