0,1,2,3,4,5,6
序号,学科,项目名称,项目类别,项目批准号,申请人,学校名称
1,"马克思主义/思
想政治教育",新疆少数民族大学生中华民族共同体意识培育研究,规划基金项目,19XJJA710001,郭亚萍,塔里木大学
2,语言学,"基于SPOC的新疆高校“零起点”民族学生英语教学模式
研究",青年基金项目,19XJJC740001,杨艳艳,石河子大学
3,中国文学,清代汉语文学影响下的西域社会研究,规划基金项目,19XJJA751001,宋晓云,新疆师范大学
4,艺术学,新疆生产建设兵团摄影史及其研究,规划基金项目,19XJJA760001,李军,石河子大学
5,艺术学,"传承龟兹乐舞神韵 弘扬中华美学精神——龟兹乐舞美学
研究",规划基金项目,19XJJA760002,刘莉,新疆师范大学
6,艺术学,新疆多民族抱弹类乐器传统演奏技法比较研究,青年基金项目,19XJJC760001,李杨,石河子大学
7,历史学,道光咸丰时期镇迪道《赋役全书》整理与研究,青年基金项目,19XJJC770001,唐智佳,伊犁师范学院
8,经济学,"“一带一路”经济走廊陆路节点口岸的产业发展与辐射
效应研究",青年基金项目,19XJJC790001,"穆沙江·努热
吉",新疆财经大学
9,管理学,领导谏言反应的触发机制研究：基于认知评估视角,青年基金项目,19XJJC630001,陈智,新疆财经大学
10,政治学,"新时代中华民族共有精神家园建设的理论与实践研究—
—以新疆为例",规划基金项目,19XJJA810001,李瑞君,石河子大学
11,政治学,总体国家安全观背景下维护新疆安全对策研究,青年基金项目,19XJJC810001,胡晓,新疆大学
12,教育学,"南疆农村幼儿园中华文化认同启蒙教育的生态系统构建
研究",规划基金项目,19XJJA880001,安燕,喀什大学
13,教育学,"新疆地区师范类专业人才培养模式的改革研究——基于
核心素养的视角",青年基金项目,19XJJC880002,李适,昌吉学院
14,教育学,军屯背景下学校教育的发展变迁研究,青年基金项目,19XJJC880001,郭学军,石河子大学
15,"交叉学科/综合
研究","基于门诊特殊慢病政策背景下的高血压和糖尿病共病患
者疾病经济负担研究",青年基金项目,19XJJCZH001,张梅,石河子大学
