0,1,2,3,4,5,6
序号,学科门类,项目名称,项目类别,项目批准号,申请人,学校名称
1,"马克思主义/思
想政治教育",新时代思想政治教育高质量发展的维度与方法研究,青年基金项目,23YJC710046,匡宁,安徽师范大学
2,"马克思主义/思
想政治教育",习近平总书记关于美好生活的书信文本研究,青年基金项目,23YJC710078,陶春丽,安徽中医药大学
3,"马克思主义/思
想政治教育","红旗渠精神的生成逻辑、时代价值及其传承发展路径研
究",规划基金项目,23YJA710053,张荣花,安阳师范学院
4,"马克思主义/思
想政治教育",当前主要社会思潮在高校的传播及应对研究,青年基金项目,23YJC710017,杜玥,北京航空航天大学
5,"马克思主义/思
想政治教育",马克思的能动性理论及其当代价值研究,青年基金项目,23YJC710026,耿芳兵,北京科技大学
6,"马克思主义/思
想政治教育","大数据视角下欧洲民粹主义对我国意识形态安全的风险
研究",青年基金项目,23YJC710112,游楠,北京科技大学
7,"马克思主义/思
想政治教育","中国式现代化进程中乡村传统制度文化现代价值与重塑
研究",青年基金项目,23YJC710042,揭芳,北京林业大学
8,"马克思主义/思
想政治教育",网络空间政治认同的建构与提升研究,青年基金项目,23YJC710029,郭睿,北京师范大学
9,"马克思主义/思
想政治教育","中国式现代化进程中优秀传统乡村伦理文化传承发展研
究",青年基金项目,23YJC710038,霍艳云,北京印刷学院
10,"马克思主义/思
想政治教育",数字赋能高校智慧思想政治教育研究,青年基金项目,23YJC710068,罗莎,北京邮电大学
11,"马克思主义/思
想政治教育",新时代中国式现代化话语体系的生成逻辑及建构研究,青年基金项目,23YJC710116,张飞雪,北京邮电大学
12,"马克思主义/思
想政治教育","算法推荐场域网络意识形态风险的生成机理与治理路径
研究",规划基金项目,23YJA710047,闫海波,常熟理工学院
13,"马克思主义/思
想政治教育",习近平总书记关于思想政治教育方法重要论述研究,青年基金项目,23YJC710126,张一璠,常熟理工学院
序号,学科门类,项目名称,项目类别,项目批准号,申请人,学校名称
14,"马克思主义/思
想政治教育","新时代新征程筑牢高校思政课教师政治信仰的理论逻辑
与实践路径研究",青年基金项目,23YJC710003,卞雨花,常州大学
15,"马克思主义/思
想政治教育",Z世代消极情感的形成机制与消减对策研究,青年基金项目,23YJC710083,王健,常州工学院
16,"马克思主义/思
想政治教育",新时代弘扬雷锋精神研究,规划基金项目,23YJA710020,李岩,大连工业大学
17,"马克思主义/思
想政治教育",网络圈层视域下青年信仰塑造对策研究,规划基金项目,23YJA710049,杨木,大连理工大学
18,"马克思主义/思
想政治教育",人类命运共同体海外传播力提升的文化路径研究,青年基金项目,23YJC710074,孙凡,大连外国语大学
19,"马克思主义/思
想政治教育",网络空间社会主义意识形态引领力研究,规划基金项目,23YJA710003,曹银忠,电子科技大学
20,"马克思主义/思
想政治教育",中国式现代化的独特价值观研究,青年基金项目,23YJC710036,黄宝成,东北电力大学
21,"马克思主义/思
想政治教育",中国式现代化进程中公众生态自觉意识培育研究,规划基金项目,23YJA710042,王越芬,东北林业大学
22,"马克思主义/思
想政治教育","社会主义核心价值观引领人民群众精神生活共同富裕的
文化场域建构",青年基金项目,23YJC710004,曹威威,东北师范大学
23,"马克思主义/思
想政治教育","“大思政课”视域下高校思想政治理论课教学的全生态
场域建构研究",青年基金项目,23YJC710103,闫利利,东北师范大学
24,"马克思主义/思
想政治教育","全过程人民民主对保障和改善民生的作用机理与实现路
径研究",青年基金项目,23YJC710109,杨渊浩,对外经济贸易大学
25,"马克思主义/思
想政治教育",中国式现代化对人类文明发展的创新贡献研究,规划基金项目,23YJA710009,郭展义,佛山科学技术学院
26,"马克思主义/思
想政治教育",新时代艰苦奋斗精神的传承和弘扬研究,规划基金项目,23YJA710059,邹艳辉,福建工程学院
27,"马克思主义/思
想政治教育","“一家两国”模式下跨国留守儿童国家认同的独特样态
及提升策略研究",规划基金项目,23YJA710040,王晓,福建农林大学
28,"马克思主义/思
想政治教育",习近平总书记关于立德树人的重要论述研究,青年基金项目,23YJC710024,高仁,复旦大学
29,"马克思主义/思
想政治教育",数字意识形态的兴起、风险与治理研究,青年基金项目,23YJC710092,温旭,复旦大学
序号,学科门类,项目名称,项目类别,项目批准号,申请人,学校名称
30,"马克思主义/思
想政治教育","新时代党以自我革命破解大党独有难题的逻辑机理与实
践路径研究",青年基金项目,23YJC710055,李文瑞,赣南师范大学
31,"马克思主义/思
想政治教育",高校思政课教师意识形态能力研究,规划基金项目,23YJA710035,孙帮寨,赣南医学院
32,"马克思主义/思
想政治教育",新时代人格型政治信任构筑的内在机理与实现路径研究,规划基金项目,23YJA710039,唐斌,广东技术师范大学
33,"马克思主义/思
想政治教育",人工智能时代的数字劳动正义及实现路径研究,青年基金项目,23YJC710015,窦畅宇,广东技术师范大学
