0,1,2,3,4,5,6
序号,学科门类,项目名称,项目类别,项目批准号,申请人,学校名称
1,"马克思主义/思想
政治教育","人工智能驱动下高校“三全育人”体系数字化转型的实
现路径研究",青年基金项目,25XJC710008,秦大伟,成都师范学院
2,"马克思主义/思想
政治教育","高质量发展背景下科技创业与新质生产力动态耦合的内
生机理、驱动机制与政策协同研究",青年基金项目,25XJC710004,刘波,贵州医科大学
3,"马克思主义/思想
政治教育",数智时代思政课教师职业情感异化风险及其应对研究,规划基金项目,25XJA710009,朱铭,四川师范大学
4,"马克思主义/思想
政治教育","改革开放以来“五年规划”推动精神生活共同富裕的演
进机制、内在逻辑与进阶策略",规划基金项目,25XJA710008,张丽珍,西安电子科技大学
5,"马克思主义/思想
政治教育",数智赋能政治监督效能提升的逻辑理路与实践策略研究,青年基金项目,25XJC710001,曹阳,西安电子科技大学
6,"马克思主义/思想
政治教育",人工智能时代人的主体性问题研究,青年基金项目,25XJC710009,赵琦,西安电子科技大学
7,"马克思主义/思想
政治教育",陕北民歌中的延安精神整理与研究（1935-1948）,规划基金项目,25XJA710002,简爱,西安音乐学院
8,"马克思主义/思想
政治教育",“第二个结合”与中国式现代化文化形态建构研究,青年基金项目,25XJC710005,马珂琦,西北大学
9,"马克思主义/思想
政治教育","新民主主义革命时期中国共产党美育思想的原创性贡献
研究",规划基金项目,25XJA710007,张晶,西北工业大学
10,"马克思主义/思想
政治教育",数智劳动推动中国式经济现代化的机制分析,青年基金项目,25XJC710007,潘越,西北工业大学
11,"马克思主义/思想
政治教育","数智时代思想政治教育中的“人—技”关系及其调适研
究",青年基金项目,25XJC710002,丁丽,西北师范大学
12,"马克思主义/思想
政治教育",高校思政课教师数智素养的逻辑解耦与协同培育研究,青年基金项目,25XJC710003,李颖,西南财经大学
13,"马克思主义/思想
政治教育",21世纪国外左翼学者批判新自由主义研究,青年基金项目,25XJC710006,倪晶晶,西南财经大学
14,"马克思主义/思想
政治教育","“大先生”视域下高校优秀辅导员的时代内涵与思政引
领力提升路径研究",规划基金项目,25XJA710003,孔祥彬,西南交通大学
15,"马克思主义/思想
政治教育","数智时代网络思想道德教育分众化的动态评估与推进路
径研究",规划基金项目,25XJA710010,祝琴,西南石油大学
序号,学科门类,项目名称,项目类别,项目批准号,申请人,学校名称
16,"马克思主义/思想
政治教育",国门学校第二课堂铸牢中华民族共同体意识路径研究,规划基金项目,25XJA710005,李永祥,云南财经大学
17,"马克思主义/思想
政治教育",数字赋能高校精准思政的范式重构与调适路径研究,规划基金项目,25XJA710006,孟亚,重庆第二师范学院
18,"马克思主义/思想
政治教育",大学生中华民族认同的测评指标与实证研究,规划基金项目,25XJA710001,高珊,重庆师范大学
19,"马克思主义/思想
政治教育",党的十八大以来农村基层党组织群众组织力建设研究,规划基金项目,25XJA710004,李俊斌,重庆邮电大学
20,哲学,西方近代激进启蒙哲学翻译与研究,青年基金项目,25XJC720003,唐敏,海南大学
21,哲学,传统医学哲学视域下的“《黄帝内经》注”研究,青年基金项目,25XJC720004,杨磊,昆明学院
22,哲学,中国明清时期伊斯兰本体论思想的传承与超越研究,青年基金项目,25XJC720001,"NASHEFSTEPHE
NMALIKMARSHA
LL",四川大学
23,哲学,"人工智能可信任性的哲学批判、理论重构与实践路径研
究",青年基金项目,25XJC720002,彭家锋,西南大学
24,语言学,类型学视域下的广西汉语方言双及物结构研究,规划基金项目,25XJA740003,全峰,桂林电子科技大学
25,语言学,隋唐五代石刻简体字研究,青年基金项目,25XJC740001,敖玲玲,内蒙古民族大学
26,语言学,"大型语料库驱动下危机话语在中文和德语媒体建构的对
比研究",青年基金项目,25XJC740004,阮茜,商洛学院
27,语言学,俄语语言文化元词典库构建研究,青年基金项目,25XJC740003,李俊瑛,四川外国语大学
28,语言学,元杂剧经典英译的翻译美学重构与传播研究,规划基金项目,25XJA740001,郭亚文,西北师范大学
29,语言学,中国早期国家形成中的语言接触和符号转换研究,规划基金项目,25XJA740002,郭洋生,西南财经大学
30,语言学,吉田富夫中国现当代文学译介与中国形象建构研究,青年基金项目,25XJC740002,李国玲,长安大学
31,中国文学,法国文学汉译史料整理与研究（1900-1949）,青年基金项目,25XJC751005,杨雨,楚雄师范学院
序号,学科门类,项目名称,项目类别,项目批准号,申请人,学校名称
32,中国文学,宋代散佚诗话的辑补和辨正研究,青年基金项目,25XJC751002,郭星明,川北医学院
33,中国文学,生态精神分析批评理论体系的建构与应用研究,青年基金项目,25XJC751004,胡艳秋,广西科技大学
34,中国文学,明清易代之际子书的多维演变与价值生成研究,规划基金项目,25XJA751002,叶艳明,南宁师范大学
35,中国文学,物质文化视域下汉画像石题记文本形态研究,青年基金项目,25XJC751001,伏雪芹,西北师范大学
36,中国文学,"基于数字人文的中亚华语口传文学资料整理及文化记忆
传承研究",青年基金项目,25XJC751003,韩苗苗,西北师范大学
37,中国文学,东亚“禁体诗”典范的形成与衍变研究,青年基金项目,25XJC751006,张志杰,西南大学
38,中国文学,鲁迅文学作品在东南亚的传播与影响研究,规划基金项目,25XJA751001,马峰,云南大学
39,外国文学,日本甲午战争题材汉诗文的发生机制与多维批判研究,规划基金项目,25XJA752001,闫朝华,宝鸡文理学院
40,外国文学,美国文学中的美墨战争书写研究,青年基金项目,25XJC752004,吴寒,贵州师范大学
41,外国文学,二十世纪美国文学中的美国知识分子身份研究,青年基金项目,25XJC752002,董凯,西安工业大学
42,外国文学,杰拉德·维兹诺的后印第安生存叙事研究,青年基金项目,25XJC752001,陈玲,云南大学
43,外国文学,"多丽丝·莱辛科幻小说中的地球家园意识重构与当代文
明反思研究",规划基金项目,25XJA752002,郑丹,重庆三峡学院
44,外国文学,唐·德里罗小说的共同体书写研究,青年基金项目,25XJC752003,李思,重庆师范大学
