0,1,2,3,4,5,6
序号,学科门类,项目名称,项目类别,项目批准号,申请人,学校名称
1,"马克思主义/思想
政治教育",马克思恩格斯晚年文明思想研究,青年基金项目,25YJC710036,卢孔亿,安徽财经大学
2,"马克思主义/思想
政治教育",数智时代主流意识形态认同的情感叙事研究,青年基金项目,25YJC710007,程权杰,安徽工业大学
3,"马克思主义/思想
政治教育",鄂豫皖苏区不可移动革命文物资料整理与数字传承研究,规划基金项目,25YJA710017,洪涛,安徽建筑大学
4,"马克思主义/思想
政治教育","信息茧房视域下Z世代大学生网络素养对创新能力的影
响路径研究",规划基金项目,25YJA710048,王昊禾,安徽建筑大学
5,"马克思主义/思想
政治教育",农业新质生产力赋能乡村文化振兴的机制与路径研究,青年基金项目,25YJC710029,刘东,安徽师范大学
6,"马克思主义/思想
政治教育",中华优秀家风文化赋能基层治理的实现机制研究,青年基金项目,25YJC710001,曾梦晴,安庆师范大学
7,"马克思主义/思想
政治教育","MEGA2视阈中的《资本论》第2卷关于“马克思恩格斯问
题”的研究",规划基金项目,25YJA710053,王旭东,北京理工大学
8,"马克思主义/思想
政治教育","人工智能视域下高校思想政治教育的算法风险及其治理
路径研究",规划基金项目,25YJA710021,靳晓熙,北京农学院
9,"马克思主义/思想
政治教育",当代英美左翼学者全球化批判理论研究,青年基金项目,25YJC710043,裴亚男,北京物资学院
10,"马克思主义/思想
政治教育",高校思政课青年教师“三理贯通”能力提升研究,青年基金项目,25YJC710042,潘思雨,渤海大学
11,"马克思主义/思想
政治教育","高校研究生导师职业道德失范的生成逻辑与治理策略研
究",规划基金项目,25YJA710081,宗彩娥,常州大学
12,"马克思主义/思想
政治教育",习近平法治思想标识性概念体系及理论贡献研究,青年基金项目,25YJC710083,张雷,常州大学
13,"马克思主义/思想
政治教育","全人类共同价值的国际传播与认同研究——基于多维语
料库的实证分析",规划基金项目,25YJA710007,邓颜蕙,成都工业学院
14,"马克思主义/思想
政治教育",新就业形态青年的思想引导和凝聚服务路径研究,规划基金项目,25YJA710042,邵雅利,福建江夏学院
序号,学科门类,项目名称,项目类别,项目批准号,申请人,学校名称
15,"马克思主义/思想
政治教育","党的自我革命制度规范体系的运行机理与质量优化路径
研究",青年基金项目,25YJC710069,肖恒,福建师范大学
16,"马克思主义/思想
政治教育",高校思想政治理论课“融入”成效提升研究,规划基金项目,25YJA710069,张忠,福建中医药大学
17,"马克思主义/思想
政治教育",大学生网络圈群化风险防控研究,自筹经费项目,25YJE710001,何晶梁,广东白云学院
18,"马克思主义/思想
政治教育","生命周期理论视域下大学生网络群体极化影响机制及引
导路径研究",青年基金项目,25YJC710027,林伟婷,广东技术师范大学
19,"马克思主义/思想
政治教育",数智时代大学生劳动精神的新内涵及其培育研究,规划基金项目,25YJA710074,郑晓纯,"广东科学技术职业学
院"
20,"马克思主义/思想
政治教育",《资本论》视角下的数据殖民及其规制研究,青年基金项目,25YJC710009,杜巧玲,广东医科大学
21,"马克思主义/思想
政治教育",高校AI辅导员建设的风险识别与治理机制研究,青年基金项目,25YJC710016,胡艳芝,广州大学
22,"马克思主义/思想
政治教育","大学生数字化精神交往中的孤独感形成机理与干预路径
研究",青年基金项目,25YJC710028,林晓珊,广州大学
23,"马克思主义/思想
政治教育","生成式AI驱动意识形态安全治理的综合效果评价及优化
路径研究",青年基金项目,25YJC710031,刘和健,广州大学
